MSZoning,LotArea,Street,Neighborhood,BldgType,OverallQual,OverallCond,Exterior1st,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,SaleCondition,SalePrice
RL,11200,Pave,Sawyer,1Fam,5,5,HdBoard,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,0,134,1040,Y,1040,0,0,1040,1,0,1,0,3,1,TA,5,Typ,0,NA,Detchd,1965,Unf,1,384,TA,TA,Y,0,0,0,0,0,NA,NA,NA,0,2,Normal,129500
RL,11924,Pave,NridgHt,1Fam,9,5,WdShing,Ex,TA,PConc,Ex,TA,No,GLQ,998,Unf,0,177,1175,Y,1182,1142,0,2324,1,0,3,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,2005,Fin,3,736,TA,TA,Y,147,21,0,0,0,NA,NA,NA,0,7,Partial,345000
RL,12968,Pave,Sawyer,1Fam,5,6,HdBoard,TA,TA,CBlock,TA,TA,No,ALQ,737,Unf,0,175,912,Y,912,0,0,912,1,0,1,0,2,1,TA,4,Typ,0,NA,Detchd,1962,Unf,1,352,TA,TA,Y,140,0,0,176,0,NA,NA,NA,0,9,Normal,144000
RL,10652,Pave,CollgCr,1Fam,7,5,VinylSd,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1494,1494,Y,1494,0,0,1494,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2006,RFn,3,840,TA,TA,Y,160,33,0,0,0,NA,NA,NA,0,8,Partial,279500
RL,10920,Pave,NAmes,1Fam,6,5,MetalSd,TA,TA,CBlock,TA,TA,No,BLQ,733,Unf,0,520,1253,Y,1253,0,0,1253,1,0,1,1,2,1,TA,5,Typ,1,Fa,Attchd,1960,RFn,1,352,TA,TA,Y,0,213,176,0,0,NA,GdWo,NA,0,5,Normal,157000
RM,6120,Pave,BrkSide,1Fam,7,8,Wd Sdng,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,832,832,Y,854,0,0,854,0,0,1,0,2,1,TA,5,Typ,0,NA,Detchd,1991,Unf,2,576,TA,TA,Y,48,112,0,0,0,NA,GdPrv,NA,0,7,Normal,132000
RL,11241,Pave,NAmes,1Fam,6,7,Wd Sdng,TA,TA,CBlock,TA,TA,No,ALQ,578,Unf,0,426,1004,Y,1004,0,0,1004,1,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,1970,Fin,2,480,TA,TA,Y,0,0,0,0,0,NA,NA,Shed,700,3,Normal,149000
RL,10791,Pave,Sawyer,Duplex,4,5,MetalSd,TA,TA,Slab,NA,NA,NA,NA,0,NA,0,0,0,Y,1296,0,0,1296,0,0,2,0,2,2,TA,6,Typ,0,NA,CarPort,1967,Unf,2,516,TA,TA,Y,0,0,0,0,0,NA,NA,Shed,500,10,Normal,90000
RL,13695,Pave,SawyerW,1Fam,5,5,VinylSd,TA,TA,PConc,TA,TA,No,GLQ,646,Unf,0,468,1114,Y,1114,0,0,1114,1,0,1,1,3,1,Gd,6,Typ,0,NA,Detchd,2004,Unf,2,576,TA,TA,Y,0,102,0,0,0,NA,NA,NA,0,6,Normal,159000
RL,7560,Pave,NAmes,1Fam,5,6,BrkFace,TA,TA,CBlock,TA,TA,No,LwQ,504,Unf,0,525,1029,Y,1339,0,0,1339,0,0,1,0,3,1,TA,6,Min1,0,NA,Attchd,1958,Unf,1,294,TA,TA,Y,0,0,0,0,0,NA,MnPrv,NA,0,5,Abnorml,139000
RL,14215,Pave,NridgHt,1Fam,8,5,VinylSd,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1158,1158,Y,1158,1218,0,2376,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2005,RFn,3,853,TA,TA,Y,240,154,0,0,0,NA,NA,NA,0,11,Partial,325300
RM,7449,Pave,IDOTRR,1Fam,7,7,Wd Sdng,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,637,637,Y,1108,0,0,1108,0,0,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,1930,Unf,1,280,TA,TA,N,0,0,205,0,0,NA,GdPrv,NA,0,6,Normal,139400
RL,9742,Pave,CollgCr,1Fam,8,5,VinylSd,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1777,1777,Y,1795,0,0,1795,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2002,RFn,2,534,TA,TA,Y,171,159,0,0,0,NA,NA,NA,0,9,Normal,230000
RM,4224,Pave,MeadowV,TwnhsE,5,7,CemntBd,TA,TA,PConc,Gd,TA,No,GLQ,840,Unf,0,200,1040,Y,1060,0,0,1060,1,0,1,0,3,1,TA,6,Typ,1,TA,Attchd,1976,Unf,2,572,TA,TA,Y,100,110,0,0,0,NA,NA,NA,0,6,Normal,129900
RL,8246,Pave,Sawyer,1Fam,5,8,Plywood,TA,Gd,CBlock,TA,TA,Mn,Rec,188,ALQ,668,204,1060,Y,1060,0,0,1060,1,0,1,0,3,1,Gd,6,Typ,1,TA,Attchd,1968,Unf,1,270,TA,TA,Y,406,90,0,0,0,NA,MnPrv,NA,0,5,Normal,154000
RL,14230,Pave,NridgHt,1Fam,8,5,VinylSd,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1566,1566,Y,1600,0,0,1600,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2007,RFn,3,890,TA,TA,Y,0,56,0,0,0,NA,NA,NA,0,7,Normal,256300
RL,7200,Pave,NAmes,1Fam,5,7,Wd Sdng,TA,TA,CBlock,TA,TA,Mn,BLQ,234,Rec,486,180,900,Y,900,0,0,900,0,1,1,0,3,1,Gd,5,Typ,0,NA,Detchd,2005,Unf,2,576,TA,TA,Y,222,32,0,0,0,NA,NA,NA,0,5,Normal,134800
RL,11478,Pave,NridgHt,1Fam,8,5,VinylSd,Gd,TA,PConc,Ex,TA,No,GLQ,1218,Unf,0,486,1704,Y,1704,0,0,1704,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2008,RFn,3,772,TA,TA,Y,0,50,0,0,0,NA,NA,NA,0,5,Normal,306000
RL,16321,Pave,NAmes,1Fam,5,6,MetalSd,TA,TA,CBlock,TA,TA,Gd,BLQ,1277,Unf,0,207,1484,Y,1600,0,0,1600,1,0,1,0,2,1,TA,6,Typ,2,Gd,Attchd,1957,RFn,1,319,TA,TA,Y,288,258,0,0,0,NA,NA,NA,0,12,Normal,207500
RM,6324,Pave,BrkSide,1Fam,4,6,MetalSd,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,520,520,N,520,0,0,520,0,0,1,0,1,1,Fa,4,Typ,0,NA,Detchd,1920,Unf,1,240,Fa,TA,Y,49,0,87,0,0,NA,NA,NA,0,5,Normal,68500
C (all),8500,Pave,IDOTRR,1Fam,4,4,BrkFace,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,0,649,649,N,649,668,0,1317,0,0,1,0,3,1,TA,6,Typ,0,NA,Detchd,1920,Unf,1,250,TA,Fa,N,0,54,172,0,0,NA,MnPrv,NA,0,7,Normal,40000
RL,8544,Pave,Sawyer,1Fam,5,6,HdBoard,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1228,1228,Y,1228,0,0,1228,0,0,1,1,3,1,Gd,6,Typ,0,NA,Attchd,1966,Unf,1,271,TA,TA,Y,0,65,0,0,0,NA,MnPrv,NA,0,6,Normal,149350
RL,11049,Pave,CollgCr,1Fam,8,5,VinylSd,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1234,1234,Y,1234,0,0,1234,0,0,2,0,3,1,Gd,7,Typ,0,NA,Attchd,2007,RFn,2,484,TA,TA,Y,0,30,0,0,0,NA,NA,NA,0,1,Normal,179900
RL,10552,Pave,NAmes,1Fam,5,5,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,1018,Unf,0,380,1398,Y,1700,0,0,1700,0,1,1,1,4,1,Gd,6,Typ,1,Gd,Attchd,1959,RFn,2,447,TA,TA,Y,0,38,0,0,0,NA,NA,NA,0,4,Normal,165500
RL,7313,Pave,NridgHt,TwnhsE,9,5,MetalSd,Ex,TA,PConc,Ex,TA,No,GLQ,1153,Unf,0,408,1561,Y,1561,0,0,1561,1,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2005,Fin,2,556,TA,TA,Y,203,47,0,0,0,NA,NA,NA,0,8,Normal,277500
RL,13418,Pave,NridgHt,1Fam,8,5,VinylSd,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1117,1117,Y,1132,1320,0,2452,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2004,Fin,3,691,TA,TA,Y,113,32,0,0,0,NA,NA,NA,0,9,Normal,309000
RL,10859,Pave,CollgCr,1Fam,5,5,VinylSd,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1097,1097,Y,1097,0,0,1097,0,0,1,1,3,1,TA,6,Typ,0,NA,Attchd,1995,Unf,2,672,TA,TA,Y,392,64,0,0,0,NA,NA,NA,0,6,Normal,145000
RL,8532,Pave,NAmes,1Fam,5,6,Wd Sdng,TA,TA,CBlock,TA,TA,No,Rec,1213,Unf,0,84,1297,Y,1297,0,0,1297,0,1,1,0,3,1,TA,5,Typ,1,TA,Attchd,1954,Fin,2,498,TA,TA,Y,0,0,0,0,0,NA,NA,NA,0,10,Normal,153000
RL,7922,Pave,NAmes,1Fam,5,7,VinylSd,TA,Gd,CBlock,TA,TA,No,GLQ,731,Unf,0,326,1057,Y,1057,0,0,1057,1,0,1,0,3,1,Gd,5,Typ,0,NA,Detchd,1953,Unf,1,246,TA,TA,Y,0,52,0,0,0,NA,NA,NA,0,1,Abnorml,109000
RL,6040,Pave,Edwards,Duplex,4,5,AsbShng,TA,TA,PConc,NA,NA,NA,NA,0,NA,0,0,0,N,1152,0,0,1152,0,0,2,0,2,2,Fa,6,Typ,0,NA,NA,NA,NA,0,0,NA,NA,N,0,0,0,0,0,NA,NA,NA,0,6,AdjLand,82000
RL,8658,Pave,NAmes,1Fam,6,5,Wd Sdng,TA,TA,CBlock,TA,TA,No,Rec,643,Unf,0,445,1088,Y,1324,0,0,1324,0,0,2,0,3,1,TA,6,Typ,1,TA,Attchd,1965,RFn,2,440,TA,TA,Y,0,138,0,0,0,NA,GdWo,NA,0,12,Abnorml,160000
RL,16905,Pave,Timber,1Fam,5,6,VinylSd,TA,Gd,CBlock,TA,TA,Gd,BLQ,967,Unf,0,383,1350,Y,1328,0,0,1328,0,1,1,1,2,1,TA,5,Typ,2,Gd,Attchd,1959,RFn,1,308,TA,TA,P,0,104,0,0,0,NA,NA,NA,0,7,Normal,170000
RL,9180,Pave,SawyerW,1Fam,5,7,HdBoard,TA,TA,CBlock,Gd,TA,Av,ALQ,747,LwQ,93,0,840,Y,884,0,0,884,1,0,1,0,2,1,Gd,5,Typ,0,NA,Attchd,1983,RFn,2,504,TA,Gd,Y,240,0,0,0,0,NA,MnPrv,NA,0,12,Normal,144000
RL,9200,Pave,CollgCr,1Fam,5,6,VinylSd,TA,TA,CBlock,Gd,TA,Av,LwQ,280,BLQ,491,167,938,Y,938,0,0,938,1,0,1,0,3,1,TA,5,Typ,0,NA,Detchd,1977,Unf,1,308,TA,TA,Y,145,0,0,0,0,NA,MnPrv,NA,0,7,Normal,130250
RL,7945,Pave,NAmes,1Fam,5,6,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,179,BLQ,506,465,1150,Y,1150,0,0,1150,1,0,1,0,3,1,TA,6,Typ,0,NA,Attchd,1959,RFn,1,300,TA,TA,Y,0,0,0,0,0,NA,NA,NA,0,5,Normal,141000
RL,7658,Pave,NridgHt,TwnhsE,9,5,MetalSd,Ex,TA,PConc,Ex,TA,No,GLQ,456,Unf,0,1296,1752,Y,1752,0,0,1752,1,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2005,RFn,2,576,TA,TA,Y,196,82,0,0,0,NA,NA,NA,0,2,Normal,319900
RL,12822,Pave,Mitchel,1Fam,7,5,VinylSd,Gd,TA,PConc,Ex,TA,No,GLQ,1351,Unf,0,83,1434,Y,1518,631,0,2149,1,0,1,1,1,1,Gd,6,Typ,1,Ex,Attchd,2003,RFn,2,670,TA,TA,Y,168,43,0,198,0,NA,NA,NA,0,8,Abnorml,239686
FV,11096,Pave,Somerst,1Fam,8,5,VinylSd,Gd,TA,PConc,Gd,TA,Av,GLQ,24,Unf,0,1632,1656,Y,1656,0,0,1656,0,0,2,0,3,1,Gd,7,Typ,0,NA,Attchd,2006,RFn,3,826,TA,TA,Y,0,146,0,0,0,NA,NA,NA,0,7,Normal,249700
RM,4456,Pave,OldTown,2fmCon,4,5,MetalSd,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,736,736,Y,736,716,0,1452,0,0,2,0,2,3,TA,8,Typ,0,NA,NA,NA,NA,0,0,NA,NA,N,0,0,102,0,0,NA,NA,NA,0,6,Partial,113000
RL,7742,Pave,Sawyer,1Fam,5,7,HdBoard,TA,TA,CBlock,TA,TA,No,BLQ,763,Unf,0,192,955,Y,955,0,0,955,1,0,1,0,3,1,TA,6,Typ,0,NA,Attchd,1966,Unf,1,386,TA,TA,Y,0,0,0,0,0,NA,MnPrv,NA,0,1,Normal,127000
RL,13869,Pave,Gilbert,1Fam,6,6,VinylSd,TA,TA,PConc,Gd,TA,Av,GLQ,182,Unf,0,612,794,Y,794,676,0,1470,0,1,2,0,3,1,TA,6,Typ,0,NA,Attchd,1997,Fin,2,388,TA,TA,Y,0,75,0,0,0,NA,NA,NA,0,7,Normal,177000
RM,6240,Pave,BrkSide,1Fam,6,6,Wd Sdng,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,816,816,Y,816,0,360,1176,0,0,1,0,3,1,TA,6,Typ,1,Gd,Detchd,1985,Unf,2,528,TA,TA,Y,112,0,0,0,0,NA,MnPrv,Shed,400,9,Normal,114500
RM,8472,Grvl,IDOTRR,Duplex,5,5,Wd Sdng,Fa,TA,CBlock,Gd,TA,Gd,LwQ,104,GLQ,712,0,816,N,816,0,0,816,1,0,1,0,2,1,TA,5,Typ,0,NA,CarPort,1963,Unf,2,516,TA,TA,Y,106,0,0,0,0,NA,NA,NA,0,5,Normal,110000
RL,50271,Pave,Veenker,1Fam,9,5,WdShing,Gd,TA,CBlock,Ex,TA,Gd,GLQ,1810,Unf,0,32,1842,Y,1842,0,0,1842,2,0,0,1,0,1,Gd,5,Typ,1,Gd,Attchd,1981,Fin,3,894,TA,TA,Y,857,72,0,0,0,NA,NA,NA,0,11,Normal,385000
RL,7134,Pave,NAmes,1Fam,5,5,MetalSd,TA,TA,CBlock,TA,TA,No,ALQ,384,Unf,0,0,384,Y,1360,0,0,1360,0,0,1,0,3,1,TA,6,Min1,1,TA,Detchd,1962,Unf,2,572,TA,TA,Y,0,50,0,0,0,NA,MnPrv,NA,0,2,Normal,130000
RL,10175,Pave,NAmes,1Fam,6,5,HdBoard,TA,TA,CBlock,TA,TA,No,BLQ,490,Unf,0,935,1425,Y,1425,0,0,1425,0,0,2,0,3,1,TA,7,Typ,1,Gd,Attchd,1964,RFn,2,576,TA,TA,Y,0,0,0,0,0,NA,NA,NA,0,7,Normal,180500
FV,2645,Pave,Somerst,Twnhs,8,5,MetalSd,Gd,TA,PConc,Gd,TA,No,GLQ,649,Unf,0,321,970,Y,983,756,0,1739,1,0,2,1,3,1,Gd,7,Typ,0,NA,Attchd,1999,Fin,2,480,TA,TA,Y,115,0,0,0,0,NA,NA,NA,0,8,Abnorml,172500
RL,11645,Pave,CollgCr,1Fam,7,5,VinylSd,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,860,860,Y,860,860,0,1720,0,0,2,1,3,1,Gd,7,Typ,0,NA,Attchd,2004,RFn,2,565,TA,TA,Y,0,70,0,0,0,NA,NA,NA,0,8,Normal,196500
RL,13682,Pave,StoneBr,1Fam,10,5,VinylSd,Ex,TA,PConc,Ex,TA,Gd,Unf,0,Unf,0,1410,1410,Y,1426,1519,0,2945,0,0,3,1,3,1,Gd,10,Typ,1,Gd,BuiltIn,2006,Fin,3,641,TA,TA,Y,192,0,37,0,0,NA,NA,NA,0,10,Partial,438780
RL,7200,Pave,CollgCr,1Fam,5,7,HdBoard,TA,TA,CBlock,TA,TA,Av,ALQ,632,Unf,0,148,780,Y,780,0,0,780,0,0,1,0,2,1,TA,4,Typ,0,NA,Detchd,1973,Unf,1,352,TA,TA,Y,196,0,0,0,0,NA,MnPrv,NA,0,1,Normal,124900
RL,13072,Pave,SawyerW,1Fam,6,5,VinylSd,TA,TA,PConc,Gd,TA,No,ALQ,941,Unf,0,217,1158,Y,1158,0,0,1158,1,0,1,1,3,1,Gd,5,Typ,0,NA,Detchd,2006,Unf,2,576,TA,TA,Y,0,50,0,0,0,NA,NA,NA,0,5,Partial,158000
RM,7200,Pave,IDOTRR,1Fam,5,7,MetalSd,TA,TA,BrkTil,TA,Fa,No,Unf,0,Unf,0,530,530,N,581,530,0,1111,0,0,1,0,3,1,Fa,6,Typ,0,NA,Detchd,1935,Unf,1,288,TA,TA,N,0,0,144,0,0,NA,NA,NA,0,3,Normal,101000
RL,6442,Pave,NridgHt,TwnhsE,8,5,VinylSd,Gd,TA,PConc,Gd,Gd,Mn,GLQ,24,Unf,0,1346,1370,Y,1370,0,0,1370,0,0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2006,RFn,2,484,TA,TA,Y,120,49,0,0,0,NA,NA,NA,0,10,Normal,202500
RM,10300,Pave,OldTown,1Fam,7,6,Stucco,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,576,576,Y,902,808,0,1710,0,0,2,0,3,1,TA,9,Typ,0,NA,Detchd,1990,Unf,2,480,TA,TA,Y,12,11,64,0,0,NA,GdPrv,NA,0,4,Normal,140000
RL,9375,Pave,CollgCr,1Fam,7,5,VinylSd,TA,TA,PConc,Gd,TA,No,GLQ,739,Unf,0,318,1057,Y,1057,977,0,2034,1,0,2,1,3,1,Gd,8,Typ,0,NA,Attchd,1998,RFn,2,645,TA,TA,Y,576,36,0,0,0,NA,GdPrv,NA,0,2,Normal,219500
RL,9591,Pave,NridgHt,1Fam,8,5,VinylSd,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1143,1143,Y,1143,1330,0,2473,0,0,2,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2004,RFn,3,852,TA,TA,Y,192,151,0,0,0,NA,NA,NA,0,10,Normal,317000
RL,19900,Pave,NAmes,1Fam,7,5,Plywood,TA,TA,CBlock,Gd,TA,Gd,GLQ,912,Unf,0,1035,1947,Y,2207,0,0,2207,1,0,2,0,3,1,TA,7,Min1,1,Gd,Attchd,1970,RFn,2,576,TA,TA,Y,301,0,0,0,0,NA,NA,NA,0,7,Normal,180000
RL,10665,Pave,CollgCr,1Fam,7,5,VinylSd,Gd,TA,PConc,Gd,TA,Av,GLQ,1013,Unf,0,440,1453,Y,1479,0,0,1479,1,0,2,0,3,1,Gd,7,Typ,0,NA,Attchd,2003,RFn,2,558,TA,TA,Y,144,29,0,0,0,NA,NA,NA,0,6,Normal,226000
RM,4608,Pave,OldTown,1Fam,4,6,MetalSd,TA,Gd,CBlock,TA,TA,No,Unf,0,Unf,0,747,747,Y,747,0,0,747,0,0,1,0,2,1,TA,4,Typ,0,NA,Attchd,1945,Unf,1,220,TA,TA,Y,0,0,0,0,0,NA,NA,NA,0,6,Normal,80000
RL,15593,Pave,ClearCr,1Fam,7,4,BrkFace,Gd,TA,CBlock,TA,TA,No,BLQ,603,Unf,0,701,1304,Y,1304,983,0,2287,0,0,2,0,3,1,TA,7,Typ,1,TA,Attchd,1953,Fin,2,667,TA,TA,Y,0,21,114,0,0,NA,NA,NA,0,7,Normal,225000
RL,13651,Pave,NAmes,1Fam,7,6,Plywood,TA,Gd,CBlock,Gd,TA,Gd,ALQ,1880,Unf,0,343,2223,Y,2223,0,0,2223,1,0,2,0,3,1,TA,8,Typ,2,Gd,Attchd,1973,Fin,2,516,TA,TA,Y,300,0,0,0,0,NA,NA,NA,0,2,Normal,244000
RL,7599,Pave,Mitchel,1Fam,4,6,HdBoard,TA,TA,CBlock,TA,TA,No,ALQ,565,Unf,0,280,845,Y,845,0,0,845,1,0,1,0,2,1,TA,4,Typ,0,NA,Detchd,1987,Unf,2,360,TA,TA,Y,0,0,0,0,0,NA,NA,NA,0,6,Normal,129500
RL,10141,Pave,Gilbert,1Fam,7,5,VinylSd,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,832,832,Y,885,833,0,1718,0,0,2,1,3,1,TA,7,Typ,1,TA,Attchd,1998,Fin,2,427,TA,TA,Y,0,94,0,291,0,NA,NA,NA,0,12,Normal,185000
RL,10200,Pave,NAmes,1Fam,5,7,Wd Sdng,TA,TA,CBlock,TA,TA,No,ALQ,320,BLQ,362,404,1086,Y,1086,0,0,1086,1,0,1,0,3,1,TA,6,Typ,0,NA,Attchd,1989,Unf,2,490,TA,TA,Y,0,0,0,0,0,NA,GdWo,NA,0,5,Normal,144900
RM,5790,Pave,OldTown,1Fam,3,6,VinylSd,Gd,Gd,CBlock,Fa,TA,No,Unf,0,Unf,0,840,840,N,840,765,0,1605,0,0,2,0,3,2,TA,8,Typ,0,NA,Detchd,1915,Unf,1,379,TA,TA,Y,0,0,202,0,0,NA,NA,NA,0,5,Normal,107400
RM,1596,Pave,MeadowV,Twnhs,4,5,CemntBd,TA,TA,CBlock,Gd,TA,Gd,GLQ,462,Unf,0,0,462,Y,526,462,0,988,1,0,1,0,2,1,TA,5,Typ,0,NA,BuiltIn,1973,Unf,1,297,TA,TA,Y,120,101,0,0,0,NA,GdWo,NA,0,11,Normal,91000
RL,8475,Pave,NAmes,1Fam,4,7,VinylSd,TA,TA,CBlock,TA,TA,No,ALQ,228,Unf,0,724,952,Y,952,0,0,952,0,0,1,0,2,1,TA,4,Typ,0,NA,Detchd,1956,Unf,1,283,TA,TA,Y,0,0,0,0,0,NA,NA,NA,0,4,Normal,135750
RM,8635,Pave,BrkSide,1Fam,5,5,Wd Sdng,TA,TA,CBlock,TA,TA,No,BLQ,336,GLQ,41,295,672,Y,1072,213,0,1285,1,0,1,0,2,1,TA,6,Min1,0,NA,Detchd,1948,Unf,1,240,TA,TA,Y,0,0,0,0,0,NA,MnPrv,NA,0,1,Normal,127000
RL,10778,Pave,Sawyer,Duplex,4,5,HdBoard,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1768,1768,N,1768,0,0,1768,0,0,2,0,4,2,TA,8,Typ,0,NA,NA,NA,NA,0,0,NA,NA,Y,0,0,0,0,0,NA,NA,NA,0,4,Normal,136500
RM,10440,Pave,OldTown,1Fam,5,6,Wd Sdng,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,440,440,Y,682,548,0,1230,0,0,1,1,2,1,TA,5,Typ,0,NA,Detchd,1966,Unf,2,440,TA,TA,Y,74,0,128,0,0,NA,MnPrv,NA,0,5,Normal,110000
